"","會員編號","櫃位名稱","課別名稱","商品類別名稱","全館消費金額","全館交易筆數","統計日期","性別","年齡層","最近消費日期","累積消費頻率","累積消費金額","卡友分群類別名稱"
"28","103310","33027_ceu","03_服飾一課","進口少女服飾",384,2,2011-12-10,"F","50-59歲",503,60,83853,"忠誠顧客"
"29","103310","51050_海壽司","05_美食一課","熟食",70,2,2011-12-25,"F","50-59歲",503,60,83853,"忠誠顧客"
"30","103310","53001_JASONS超市","05_美食一課","超市",1264,1,2011-12-25,"F","50-59歲",503,60,83853,"忠誠顧客"
"31","103310","51041_布藍里","05_美食一課","西點麵包",215,2,2011-09-24,"F","50-59歲",503,60,83853,"忠誠顧客"
"32","103310","12022_Been Teen","02_美用二課","少女內衣",4400,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"33","103310","43601_火柴邦","04_服飾二課","臨時櫃",3580,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"34","103310","41017_Earl Jeans","04_服飾二課","牛仔服飾",1500,2,2011-12-04,"F","50-59歲",503,60,83853,"忠誠顧客"
"35","103310","44005_飛狼","04_服飾二課","戶外休閒服飾",1470,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"36","103310","51034_&#28201;德德式烘焙","05_美食一課","西點麵包",381,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"37","103310","51050_海壽司","05_美食一課","熟食",940,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"38","103310","73006_A D Home  -轉運站","02_美用二課","寢具",1398,2,2011-12-10,"F","50-59歲",503,60,83853,"忠誠顧客"
"39","103310","43613_美國工廠","04_服飾二課","臨時櫃",1408,2,2011-12-04,"F","50-59歲",503,60,83853,"忠誠顧客"
"40","103310","53001_JASONS超市","05_美食一課","超市",1038,1,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"41","103310","51625_橋本木材麵包","05_美食一課","臨時櫃",200,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"42","103310","54041_友個優","06_美食二課","TO GO",110,2,2011-12-11,"F","50-59歲",503,60,83853,"忠誠顧客"
"43","103310","34007_Arnold palmer","03_服飾一課","國產少女服飾",2950,2,2011-12-10,"F","50-59歲",503,60,83853,"忠誠顧客"
"44","103310","54032_繼光香香雞","06_美食二課","TO GO",200,2,2011-11-30,"F","50-59歲",503,60,83853,"忠誠顧客"
"45","103310","51045_奉茶亭B3F","05_美食一課","冰品輕食",160,2,2011-11-27,"F","50-59歲",503,60,83853,"忠誠顧客"
"46","103310","34018_young","03_服飾一課","國產少女服飾",1314,2,2012-05-06,"F","50-59歲",503,60,83853,"忠誠顧客"
"47","103310","43002_adidas & originals","04_服飾二課","運動名店",4131,2,2012-05-19,"F","50-59歲",503,60,83853,"忠誠顧客"
"48","103310","53001_JASONS超市","05_美食一課","超市",1019,2,2012-02-18,"F","50-59歲",503,60,83853,"忠誠顧客"
"49","103310","54032_繼光香香雞","06_美食二課","TO GO",200,2,2012-05-06,"F","50-59歲",503,60,83853,"忠誠顧客"
"50","103310","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",14,2,2012-02-18,"F","50-59歲",503,60,83853,"忠誠顧客"
"51","103310","21029_DN DEFFENY COLLECTIO","01_美用一課","少女鞋",3635,2,2012-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"52","103310","43625_SNEEZE","04_服飾二課","臨時櫃",490,2,2012-05-19,"F","50-59歲",503,60,83853,"忠誠顧客"
"53","103310","54032_繼光香香雞","06_美食二課","TO GO",200,2,2012-05-19,"F","50-59歲",503,60,83853,"忠誠顧客"
"54","103310","43004_NIKE","04_服飾二課","運動名店",2610,2,2012-05-19,"F","50-59歲",503,60,83853,"忠誠顧客"
"55","103310","51052_日光大道健康廚房","05_美食一課","熟食",180,2,2013-05-18,"F","50-59歲",503,60,83853,"忠誠顧客"
"56","103310","44019_montrail","04_服飾二課","戶外休閒用品",1824,2,2013-05-18,"F","50-59歲",503,60,83853,"忠誠顧客"
"57","103310","51050_海壽司","05_美食一課","熟食",303,2,2013-03-09,"F","50-59歲",503,60,83853,"忠誠顧客"
"58","103310","51005_紀文","05_美食一課","熟食",300,2,2013-05-18,"F","50-59歲",503,60,83853,"忠誠顧客"
"59","103310","54054_Mr.Onion","06_美食二課","主題餐廳",3610,2,2013-06-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"60","103310","51071_歐姆列滋","05_美食一課","熟食",168,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"61","103310","54013_饗食天堂","06_美食二課","主題餐廳",2895,2,2013-07-02,"F","50-59歲",503,60,83853,"忠誠顧客"
"62","103310","54032_繼光香香雞","06_美食二課","TO GO",100,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"63","103310","51034_Lolli Gelato","05_美食一課","西點麵包",195,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"64","103310","42001_levis","04_服飾二課","牛仔服飾",990,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"65","103310","51070_SAISON du SOLEIL","05_美食一課","西點麵包",232,2,2013-09-09,"F","50-59歲",503,60,83853,"忠誠顧客"
"66","103310","51070_SAISON du SOLEIL","05_美食一課","西點麵包",216,2,2013-07-26,"F","50-59歲",503,60,83853,"忠誠顧客"
"67","103310","51008_韓州豆腐鍋","05_美食一課","熟食",150,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"68","103310","54046_開飯","06_美食二課","主題餐廳",4532,2,2013-07-26,"F","50-59歲",503,60,83853,"忠誠顧客"
"69","103310","51010_印度皇宮","05_美食一課","熟食",178,2,2013-07-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"70","103310","71002_台隆手創館","02_美用二課","專門大店",515,1,2013-07-02,"F","50-59歲",503,60,83853,"忠誠顧客"
"71","103310","54013_饗食天堂","06_美食二課","主題餐廳",18216,1,2014-08-16,"F","50-59歲",503,60,83853,"忠誠顧客"
"72","103310","54013_饗食天堂","06_美食二課","主題餐廳",5069,2,2014-08-05,"F","50-59歲",503,60,83853,"忠誠顧客"
"73","103310","51071_歐姆列滋","05_美食一課","熟食",158,2,2014-01-23,"F","50-59歲",503,60,83853,"忠誠顧客"
"74","103310","43638_CACO","04_服飾二課","臨時櫃",704,2,2014-01-23,"F","50-59歲",503,60,83853,"忠誠顧客"
"75","103310","51068_萬年排骨","05_美食一課","熟食",160,2,2014-01-23,"F","50-59歲",503,60,83853,"忠誠顧客"
"76","103310","51061_糖村","05_美食一課","西點麵包",2490,2,2014-01-23,"F","50-59歲",503,60,83853,"忠誠顧客"
"77","103593","43006_MBC","04_服飾二課","街頭運動",1480,2,2011-12-14,"F","30-39歲",70,4,8702,"警戒顧客"
"78","103593","41005_Kennethcolereaction","04_服飾二課","進口中性服飾",4956,2,2012-08-25,"F","30-39歲",70,4,8702,"警戒顧客"
"79","103593","41604_GAP+Johnbull","04_服飾二課","臨時櫃",2028,4,2013-06-05,"F","30-39歲",70,4,8702,"警戒顧客"
"80","103593","71002_台隆手創館","02_美用二課","專門大店",238,1,2015-10-23,"F","30-39歲",70,4,8702,"警戒顧客"
"81","104696","54012_傳鮮樓","06_美食二課","主題餐廳",2156,2,2013-05-12,"M","30-39歲",964,1,2156,"初次消費者"
"82","105260","54032_繼光香香雞","06_美食二課","TO GO",165,2,2011-11-13,"F","40-49歲",1115,13,5221,"流失顧客"
"83","105260","51002_凱林鐵板燒","05_美食一課","熟食",316,2,2011-12-05,"F","40-49歲",1115,13,5221,"流失顧客"
"84","105260","51034_&#28201;德德式烘焙","05_美食一課","西點麵包",100,2,2011-12-05,"F","40-49歲",1115,13,5221,"流失顧客"
"85","105260","51038_意廬","05_美食一課","西點麵包",168,2,2011-12-05,"F","40-49歲",1115,13,5221,"流失顧客"
"86","105260","51038_意廬","05_美食一課","西點麵包",100,2,2011-12-09,"F","40-49歲",1115,13,5221,"流失顧客"
"87","105260","73615_PAUL FRANK","02_美用二課","臨時櫃",660,2,2011-12-09,"F","40-49歲",1115,13,5221,"流失顧客"
"88","105260","51034_&#28201;德德式烘焙","05_美食一課","西點麵包",100,2,2011-12-10,"F","40-49歲",1115,13,5221,"流失顧客"
"89","105260","54004_誠屋拉麵","06_美食二課","主題餐廳",253,2,2011-12-17,"F","40-49歲",1115,13,5221,"流失顧客"
"90","105260","73615_PAUL FRANK","02_美用二課","臨時櫃",660,2,2011-12-10,"F","40-49歲",1115,13,5221,"流失顧客"
"91","105260","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",144,2,2011-12-18,"F","40-49歲",1115,13,5221,"流失顧客"
"92","105260","54013_饗食天堂","06_美食二課","主題餐廳",2171,2,2012-01-12,"F","40-49歲",1115,13,5221,"流失顧客"
"93","105260","41003_NET","04_服飾二課","國產中性服飾",284,2,2012-12-12,"F","40-49歲",1115,13,5221,"流失顧客"
"94","105260","51034_Lolli Gelato","05_美食一課","西點麵包",100,2,2012-12-12,"F","40-49歲",1115,13,5221,"流失顧客"
"95","105392","51002_凱林鐵板燒","05_美食一課","熟食",1000,2,2011-02-23,"M","30-39歲",917,15,4848,"流失顧客"
"96","105392","51034_&#28201;德德式烘焙","05_美食一課","西點麵包",150,2,2011-02-23,"M","30-39歲",917,15,4848,"流失顧客"
"97","105392","54004_誠屋拉麵","06_美食二課","主題餐廳",605,2,2011-03-04,"M","30-39歲",917,15,4848,"流失顧客"
"98","105392","54045_MOMI & TOY'S","06_美食二課","TO GO",255,2,2011-11-29,"M","30-39歲",917,15,4848,"流失顧客"
"99","105392","11015_SHISEIDO","01_美用一課","自營化妝品",176,2,2011-12-31,"M","30-39歲",917,15,4848,"流失顧客"
"100","105392","51034_&#28201;德德式烘焙","05_美食一課","西點麵包",270,2,2011-12-31,"M","30-39歲",917,15,4848,"流失顧客"
"101","105392","51052_日光大道健康廚房","05_美食一課","熟食",260,2,2011-12-31,"M","30-39歲",917,15,4848,"流失顧客"
"102","105392","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",114,2,2012-09-19,"M","30-39歲",917,15,4848,"流失顧客"
"103","105392","51006_米歇蘭","05_美食一課","熟食",198,2,2012-09-19,"M","30-39歲",917,15,4848,"流失顧客"
"104","105392","51012_旭成鐵板","05_美食一課","熟食",140,2,2012-09-19,"M","30-39歲",917,15,4848,"流失顧客"
"105","105392","51041_布藍里","05_美食一課","西點麵包",80,2,2012-09-19,"M","30-39歲",917,15,4848,"流失顧客"
"106","105392","51070_SAISON du SOLEIL","05_美食一課","西點麵包",90,2,2013-06-28,"M","30-39歲",917,15,4848,"流失顧客"
"107","105392","43631_SKECHERS特賣","04_服飾二課","臨時櫃",1180,2,2013-06-28,"M","30-39歲",917,15,4848,"流失顧客"
"108","105392","51034_Lolli Gelato","05_美食一課","西點麵包",150,2,2013-06-28,"M","30-39歲",917,15,4848,"流失顧客"
"109","105392","54057_saladay","06_美食二課","TO GO",180,2,2013-06-28,"M","30-39歲",917,15,4848,"流失顧客"
"110","105804","46002_CLAID","04_服飾二課","國產男士流行",5083,2,2011-02-12,"M","50-59歲",1172,8,23366,"流失顧客"
"111","105804","51009_九龍茶水灘","05_美食一課","熟食",280,2,2011-02-12,"M","50-59歲",1172,8,23366,"流失顧客"
"112","105804","46003_CONFAR","04_服飾二課","國產男士流行",2680,2,2011-02-12,"M","50-59歲",1172,8,23366,"流失顧客"
"113","105804","46002_CLAID","04_服飾二課","國產男士流行",2086,2,2011-12-17,"M","50-59歲",1172,8,23366,"流失顧客"
"114","105804","41017_Earl Jeans","04_服飾二課","牛仔服飾",790,2,2011-12-17,"M","50-59歲",1172,8,23366,"流失顧客"
"115","105804","46003_CONFAR","04_服飾二課","國產男士流行",9000,2,2011-12-17,"M","50-59歲",1172,8,23366,"流失顧客"
"116","105804","41003_NET","04_服飾二課","國產中性服飾",999,2,2012-10-15,"M","50-59歲",1172,8,23366,"流失顧客"
"117","105804","43013_VANS","04_服飾二課","街頭運動",2448,4,2012-10-16,"M","50-59歲",1172,8,23366,"流失顧客"
"118","106111","73605_HUMAN TOUCH","02_美用二課","臨時櫃",1800,2,2011-02-24,"F","30-39歲",1601,6,6422,"流失顧客"
"119","106111","53001_JASONS超市","05_美食一課","超市",534,1,2011-06-23,"F","30-39歲",1601,6,6422,"流失顧客"
"120","106111","54011_銀湯匙","06_美食二課","主題餐廳",0,4,2011-04-28,"F","30-39歲",1601,6,6422,"流失顧客"
"121","106111","54011_銀湯匙","06_美食二課","主題餐廳",1634,2,2011-02-24,"F","30-39歲",1601,6,6422,"流失顧客"
"122","106111","54011_銀湯匙","06_美食二課","主題餐廳",2221,2,2011-08-14,"F","30-39歲",1601,6,6422,"流失顧客"
"123","106111","51045_奉茶亭B3F","05_美食一課","冰品輕食",35,2,2011-08-14,"F","30-39歲",1601,6,6422,"流失顧客"
"124","106111","51003_雪嶽山","05_美食一課","熟食",198,2,2011-08-14,"F","30-39歲",1601,6,6422,"流失顧客"
"125","106748","54013_饗食天堂","06_美食二課","主題餐廳",12439,2,2012-01-24,"F","40-49歲",1438,1,12439,"初次消費者"
"126","107205","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",101,2,2011-04-08,"F","50-59歲",317,37,35399,"忠誠顧客"
"127","107205","51643_ANNA COCOA","05_美食一課","臨時櫃",130,1,2011-04-08,"F","50-59歲",317,37,35399,"忠誠顧客"
"128","107205","61014_富士站","06_美食二課","便利輕食",649,2,2011-02-13,"F","50-59歲",317,37,35399,"忠誠顧客"
"129","107205","53001_JASONS超市","05_美食一課","超市",240,1,2011-04-08,"F","50-59歲",317,37,35399,"忠誠顧客"
"130","107205","31006_agnes b. -cafe L.P.G","06_美食二課","CAFE",271,2,2011-11-25,"F","50-59歲",317,37,35399,"忠誠顧客"
"131","107205","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",138,2,2011-11-25,"F","50-59歲",317,37,35399,"忠誠顧客"
"132","107205","54009_元定食","06_美食二課","主題餐廳",623,2,2011-10-21,"F","50-59歲",317,37,35399,"忠誠顧客"
"133","107205","54023_STARBUCKS COFFEE","06_美食二課","CAFE",150,1,2011-10-21,"F","50-59歲",317,37,35399,"忠誠顧客"
"134","107205","51002_凱林鐵板燒","05_美食一課","熟食",330,2,2012-05-26,"F","50-59歲",317,37,35399,"忠誠顧客"
"135","107205","51673_雀巢咖啡DOLCE GUSTO","05_美食一課","臨時櫃",6228,2,2012-05-06,"F","50-59歲",317,37,35399,"忠誠顧客"
"136","107205","53001_JASONS超市","05_美食一課","超市",200,1,2012-05-06,"F","50-59歲",317,37,35399,"忠誠顧客"
"137","107205","51002_凱林鐵板燒","05_美食一課","熟食",116,2,2012-05-06,"F","50-59歲",317,37,35399,"忠誠顧客"
"138","107205","53001_JASONS超市","05_美食一課","超市",441,1,2012-01-21,"F","50-59歲",317,37,35399,"忠誠顧客"
"139","107205","51673_雀巢咖啡DOLCE GUSTO","05_美食一課","臨時櫃",458,2,2012-05-26,"F","50-59歲",317,37,35399,"忠誠顧客"
"140","107205","61649_SWEET EMILY","06_美食二課","臨時櫃",100,2,2012-05-26,"F","50-59歲",317,37,35399,"忠誠顧客"
"141","107205","71002_台隆手創館","02_美用二課","專門大店",150,1,2012-12-27,"F","50-59歲",317,37,35399,"忠誠顧客"
"142","107205","53001_JASONS超市","05_美食一課","超市",208,1,2012-07-14,"F","50-59歲",317,37,35399,"忠誠顧客"
"143","107205","43002_adidas & originals","04_服飾二課","運動名店",1341,2,2012-07-24,"F","50-59歲",317,37,35399,"忠誠顧客"
"144","107205","51019_明德素食園","05_美食一課","熟食",155,2,2012-07-24,"F","50-59歲",317,37,35399,"忠誠顧客"
"145","107205","51056_大阪道頓堀","05_美食一課","熟食",470,2,2012-12-27,"F","50-59歲",317,37,35399,"忠誠顧客"
"146","107205","43020_PONY","04_服飾二課","街頭運動",1422,2,2012-07-24,"F","50-59歲",317,37,35399,"忠誠顧客"
"147","107205","53001_JASONS超市","05_美食一課","超市",283,1,2012-07-28,"F","50-59歲",317,37,35399,"忠誠顧客"
"148","107205","53001_JASONS超市","05_美食一課","超市",114,1,2012-08-14,"F","50-59歲",317,37,35399,"忠誠顧客"
"149","107205","54032_繼光香香雞","06_美食二課","TO GO",139,2,2012-12-27,"F","50-59歲",317,37,35399,"忠誠顧客"
"150","107205","51612_洺盛","05_美食一課","臨時櫃",300,4,2012-07-24,"F","50-59歲",317,37,35399,"忠誠顧客"
"151","107205","54049_21世紀風味館","06_美食二課","TO GO",728,1,2012-08-02,"F","50-59歲",317,37,35399,"忠誠顧客"
"152","107205","54013_饗食天堂","06_美食二課","主題餐廳",1676,2,2013-01-10,"F","50-59歲",317,37,35399,"忠誠顧客"
"153","107205","43005_CONVERSE","04_服飾二課","街頭運動",2190,2,2013-04-05,"F","50-59歲",317,37,35399,"忠誠顧客"
"154","107205","22014_miryoku","02_美用二課","女包",3088,2,2013-11-20,"F","50-59歲",317,37,35399,"忠誠顧客"
"155","107205","22056_Crystal Ball","02_美用二課","女包",7840,2,2013-11-20,"F","50-59歲",317,37,35399,"忠誠顧客"
"156","107205","22013_KINAZ","02_美用二課","女包",3382,2,2013-10-13,"F","50-59歲",317,37,35399,"忠誠顧客"
"157","107205","54053_山頭火拉麵","06_美食二課","主題餐廳",935,2,2013-11-20,"F","50-59歲",317,37,35399,"忠誠顧客"
"158","107205","52623_湯米鬆餅","05_美食一課","臨時櫃",200,4,2013-10-13,"F","50-59歲",317,37,35399,"忠誠顧客"
"159","107205","61627_Jelly Belly","06_美食二課","臨時櫃",108,2,2013-11-24,"F","50-59歲",317,37,35399,"忠誠顧客"
"160","107205","54023_STARBUCKS COFFEE","06_美食二課","CAFE",205,1,2015-02-14,"F","50-59歲",317,37,35399,"忠誠顧客"
"161","107205","54060_STARBUCKS COFFEE -4F","06_美食二課","CAFE",155,1,2015-02-18,"F","50-59歲",317,37,35399,"忠誠顧客"
"162","107205","54059_Haagen Dazs","06_美食二課","CAFE",135,1,2014-06-17,"F","50-59歲",317,37,35399,"忠誠顧客"
"163","107380","51005_紀文","05_美食一課","熟食",330,2,2012-01-23,"F","50-59歲",817,4,708,"流失顧客"
"164","107380","51019_明德素食園","05_美食一課","熟食",188,2,2012-01-29,"F","50-59歲",817,4,708,"流失顧客"
"165","107380","51070_SAISON du SOLEIL","05_美食一課","西點麵包",70,2,2013-09-29,"F","50-59歲",817,4,708,"流失顧客"
"166","107380","51041_布藍里","05_美食一課","西點麵包",120,2,2013-10-06,"F","50-59歲",817,4,708,"流失顧客"
"167","107424","33019_mori girl","03_服飾一課","進口少女服飾",4104,2,2011-08-13,"F","40-49歲",400,13,39068,"警戒顧客"
"168","107424","34019_Iris Girls","03_服飾一課","國產少女服飾",1730,2,2011-08-13,"F","40-49歲",400,13,39068,"警戒顧客"
"169","107424","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",172,2,2011-08-13,"F","40-49歲",400,13,39068,"警戒顧客"
"170","107424","53001_JASONS超市","05_美食一課","超市",795,1,2011-08-13,"F","40-49歲",400,13,39068,"警戒顧客"
"171","107424","61627_Jelly Belly","06_美食二課","臨時櫃",205,2,2011-09-24,"F","40-49歲",400,13,39068,"警戒顧客"
"172","107424","12024_Fun Time Club","02_美用二課","少女內衣",7980,2,2013-02-16,"F","40-49歲",400,13,39068,"警戒顧客"
"173","107424","54013_饗食天堂","06_美食二課","主題餐廳",12177,2,2013-02-16,"F","40-49歲",400,13,39068,"警戒顧客"
"174","107424","61025_美珍香","06_美食二課","轉運站商店",690,2,2013-03-16,"F","40-49歲",400,13,39068,"警戒顧客"
"175","107424","51609_荷旺蝦餅","05_美食一課","臨時櫃",100,2,2014-11-27,"F","40-49歲",400,13,39068,"警戒顧客"
"176","107424","51065_雪嶽山","05_美食一課","熟食",220,2,2014-11-27,"F","40-49歲",400,13,39068,"警戒顧客"
"177","107424","11063_N A R S","01_美用一課","自營化妝品",4995,2,2014-11-27,"F","40-49歲",400,13,39068,"警戒顧客"
"178","107424","33039_iiMK","03_服飾一課","進口少女服飾",1512,2,2014-04-13,"F","40-49歲",400,13,39068,"警戒顧客"
"179","107424","34023_epanouir","03_服飾一課","國產少女服飾",4388,2,2014-04-13,"F","40-49歲",400,13,39068,"警戒顧客"
"180","108017","54041_友個優","06_美食二課","TO GO",65,2,2011-02-03,"F","20-29歲",257,12,6707,"警戒顧客"
"181","108017","54033_SUBWAY","06_美食二課","TO GO",45,2,2011-12-24,"F","20-29歲",257,12,6707,"警戒顧客"
"182","108017","52002_先麥","05_美食一課","伴手禮品",340,2,2012-01-16,"F","20-29歲",257,12,6707,"警戒顧客"
"183","108017","52006_寶泉","05_美食一課","伴手禮品",752,4,2012-01-16,"F","20-29歲",257,12,6707,"警戒顧客"
"184","108017","52007_新復珍","05_美食一課","伴手禮品",120,2,2012-01-16,"F","20-29歲",257,12,6707,"警戒顧客"
"185","108017","61013_王師父餅舖","06_美食二課","轉運站商店",175,2,2012-01-16,"F","20-29歲",257,12,6707,"警戒顧客"
"186","108017","61022_小林煎餅","06_美食二課","轉運站商店",120,2,2012-12-23,"F","20-29歲",257,12,6707,"警戒顧客"
"187","108017","61022_小林煎餅","06_美食二課","轉運站商店",210,2,2013-04-13,"F","20-29歲",257,12,6707,"警戒顧客"
"188","108017","22019_Accessorize","02_美用二課","雜貨配件",1000,2,2015-04-19,"F","20-29歲",257,12,6707,"警戒顧客"
"189","108017","51050_海壽司","05_美食一課","熟食",100,1,2014-11-21,"F","20-29歲",257,12,6707,"警戒顧客"
"190","108017","22657_semilla","02_美用二課","臨時櫃",1200,2,2014-07-06,"F","20-29歲",257,12,6707,"警戒顧客"
"191","108017","43021_K-SWISS","04_服飾二課","運動名店",2580,2,2014-06-29,"F","20-29歲",257,12,6707,"警戒顧客"
"192","108024","51029_Yamazaki山崎麵包","05_美食一課","西點麵包",101,2,2011-09-24,"F","20-29歲",1054,5,11935,"流失顧客"
"193","108024","71002_台隆手創館","02_美用二課","專門大店",1339,1,2011-10-08,"F","20-29歲",1054,5,11935,"流失顧客"
"194","108024","24003_watch's house","02_美用二課","眼鏡鐘錶",6750,2,2012-01-29,"F","20-29歲",1054,5,11935,"流失顧客"
"195","108024","33038_INDEX","03_服飾一課","進口少女服飾",2880,2,2013-02-10,"F","20-29歲",1054,5,11935,"流失顧客"
"196","108024","33028_collect point","03_服飾一課","進口少女服飾",865,2,2013-02-11,"F","20-29歲",1054,5,11935,"流失顧客"
"197","108045","51020_和田精緻涮涮鍋","05_美食一課","熟食",560,2,2011-01-29,"F","40-49歲",285,37,50101,"忠誠顧客"
"198","108045","51038_意廬","05_美食一課","西點麵包",85,2,2011-01-29,"F","40-49歲",285,37,50101,"忠誠顧客"
"199","108045","71002_台隆手創館","02_美用二課","專門大店",298,1,2011-01-29,"F","40-49歲",285,37,50101,"忠誠顧客"
"200","108045","51038_意廬","05_美食一課","西點麵包",100,2,2011-02-03,"F","40-49歲",285,37,50101,"忠誠顧客"
"201","108045","54040_東京屋壽司丼飯專賣","06_美食二課","TO GO",70,2,2011-02-06,"F","40-49歲",285,37,50101,"忠誠顧客"
"202","108045","11037_薑心比心","01_美用一課","沐浴香氛",435,2,2011-03-25,"F","40-49歲",285,37,50101,"忠誠顧客"
"203","108045","54006_金色三麥","06_美食二課","主題餐廳",6240,2,2011-03-31,"F","40-49歲",285,37,50101,"忠誠顧客"
"204","108045","51048_Movenpick Cafe","05_美食一課","西點麵包",241,1,2011-04-02,"F","40-49歲",285,37,50101,"忠誠顧客"
"205","108045","12022_Been Teen","02_美用二課","少女內衣",612,2,2011-06-19,"F","40-49歲",285,37,50101,"忠誠顧客"
"206","108045","51002_凱林鐵板燒","05_美食一課","熟食",420,2,2011-02-03,"F","40-49歲",285,37,50101,"忠誠顧客"
"207","108045","31006_agnes b. -cafe L.P.G","06_美食二課","CAFE",209,1,2011-06-19,"F","40-49歲",285,37,50101,"忠誠顧客"
